pt_0,"Cura Inferior","Recupera uma pequena quantidade de HP para o alvo. Também pode causar dano nos mortos-vivos.\nRequisito de aprendizado:\nReal:Nível 10\nMago:Nível 4\nElfo:Nível 8\nCavaleiro:Nível 20."
pt_1,Luz,"Usa mágica para convocar uma fonte de luz que ilumina uma área ao redor de quem fez o feitiço por 3600 segs.\nRequisito de aprendizado:\nReal:Nível 10\nMago:Nível 4\nElfo:Nível 8\nCavaleiro:Nível 10."
pt_2,Escudo,"Forma um escudo de proteção e aumenta seus AC em 2 pontos. Não pode ser unido.\nRequisito de aprendizado:\nReal:Nível 10\nMago:Nível 4\nElfo:Nível 8\nCavaleiro:Nível 30."
pt_3,"Raio de Energia","Dispara uma flecha mágica que causa uma pequena quantidade de dano no alvo.A classe de Mago consumirá 0 de mana ao lançar este encanto no nível 30. As classes de Elfo e Real consumirão 0 de mana ao lançar este encanto no nível 20.\nRequisito de aprendizado:\nReal:Nível 10\nMago:Nível 4\nElfo:Nível 8\nCavaleiro:Nível 50."
pt_4,Teleporte,"Teleporta para um local aleatório. Também pode selecionar um local específico para teleportar usando ""Anel de Teleporte"".\nRequisito de aprendizado:\nReal:Nível 10\nMago:Nível 4\nElfo:Nível 8\nCavaleiro:Nível 50."
pt_5,"Adaga de Gelo","Atira flechas de gelo contra inimigos para causar danos neles.\nRequisito de aprendizado:\nReal:Nível 10\nMago:Nível 4\nElfo:Nível 8\nCavaleiro:Nível 50."
pt_6,"Shuriken do Vento","Joga uma adaga de vento para causar dano no inimigo.\nRequisito de aprendizado:\nReal:Nível 10\nMago:Nível 4\nElfo:Nível 8\nCavaleiro:Nível 50."
pt_7,"Arma Sagrada","Dá força a armas para aumentar dano. A arma com mais força irá causar dano adicional em mortos-vivos.\nRequisito de aprendizado:\nReal:Nível 10\nMago:Nível 4\nElfo:Nível 8\nCavaleiro:Nível 40."
pt_8,"Curar Veneno","Usa magia para curar o alvo e curar de veneno.\nRequisito de aprendizado:\nReal:Nível 20\nMago:Nível 8\nElfo:Nível 16."
pt_9,"Toque Frio","Absorve um pouco de HP do alvo e adiciona ao seu. Fazer este feitiço reduz 2 pontos do seu valor Legal.\nRequisito de aprendizado:\nReal:Nível 20\nMago:Nível 8\nElfo:Nível 16."
pt_10,"Maldição: Veneno","Usa magia para criar toxinas que podem envenenar o alvo, fazendo que sofram de dano tóxico contínuo. Fazer este feitiço reduz 10 pontos do seu valor Legal.\nRequisito de aprendizado:\nReal:Nível 20\nMago:Nível 8\nElfo:Nível 16."
pt_11,"Encantar Arma","Aumenta em 2 pontos o dano da arma alvo.\nRequisito de aprendizado:\nReal:Nível 20\nMago:Nível 8\nElfo:Nível 16."
pt_12,Detecção,"Revela monstros e jogadores invisíveis, deixando-os visíveis.\nRequisito de aprendizado:\nReal:Nível 20\nMago:Nível 8\nElfo:Nível 16."
pt_13,"Diminuir Peso","Aumenta sua capacidade de carga por um período de tempo, permitindo que carregue mais itens.\nRequisito de aprendizado:\nReal:Nível 20\nMago:Nível 8\nElfo:Nível 16."
pt_14,"Flecha de Fogo","Invoca flechas mágicas em chamas e atira elas contra alvos inimigos para causar dano.\nRequisito de aprendizado:\nReal:Nível 20\nMago:Nível 8\nElfo:Nível 16."
pt_15,"Presa Infernal","Faz um feitiço de terra que faz com que espinhos surjam debaixo de unidades inimigas e causam dano.\nRequisito de aprendizado:\nReal:Nível 20\nMago:Nível 8\nElfo:Nível 16."
pt_16,Relâmpago,"Causa dano nos inimigos na sua frente com o poder do relâmpago.\nRequisito de aprendizado:\nMago:Nível 12\nElfo:Nível 24."
pt_17,"Transformar em Zumbi","Pode matar mortos-vivos na hora, mas também tem uma chance de 5% de deixá-los enfurecidos.\nRequisito de aprendizado:\nMago:Nível 12\nElfo:Nível 24."
pt_18,Curar,"Recupera HP do alvo. Também pode causar dano nos mortos-vivos.\nRequisito de aprendizado:\nMago:Nível 12\nElfo:Nível 24."
pt_19,"Maldição: Cegueira","Bloqueia a visão dos inimigos com magia. Pode cegar o alvo por um período de tempo. No entanto, usar este feitiço reduzirá 10 pontos do seu valor Legal.\nRequisito de aprendizado:\nMago:Nível 12\nElfo:Nível 24."
pt_20,"Armadura Abençoada","Aumenta 3 pontos de AC da sua Armadura. Você não pode fazer este feitiço várias vezes.\nRequisito de aprendizado:\nMago:Nível 12\nElfo:Nível 24."
pt_21,"Nuvem de congelamento","Lança um poderoso ataque de gelo contra o alvo, causando dano de congelamento no alvo e todos os inimigos a 1 unidade de distância dele.\nRequisito de aprendizado:\nMago:Nível 12\nElfo:Nível 24."
pt_22,"Revelar Fraqueza","Usa magia para detectar os atributos que seus inimigos mais temem.\nRequisito de aprendizado:\nMago:Nível 12\nElfo:Nível 24."
pt_23,"Bola de Fogo","Convoca bolas de fogo para queimar o alvo e inimigos a uma unidade de distância do alvo.\nRequisito de aprendizado:\nMago:Nível 16\nElfo:Nível 32."
pt_24,"Encanto Físico: DES","Faz um feitiço de vento que aumenta em 5 pontos a destreza do alvo. Pode ser usado apenas por pessoas na sua Guilda. Efeito não pode ser unido.\nRequisito de aprendizado:\nMago:Nível 16\nElfo:Nível 32."
pt_25,"Quebra de Arma","Usa magia para envolver as armas dos alvos, causando possível dano. Fazer este feitiço reduz 10 pontos do seu valor Legal.\nRequisito de aprendizado:\nMago:Nível 16\nElfo:Nível 32."
pt_26,"Toque do Vampiro","Absorve HP do alvo e adiciona ao seu. Usar este feitiço reduz 5 pontos do seu valor Legal.\nRequisito de aprendizado:\nMago:Nível 16\nElfo:Nível 32."
pt_27,Lento,"Mude o ambiente ao redor dos seus inimigos com poder do vento. Pode reduzir todos os tipos de velocidades do alvo.\nRequisito de aprendizado:\nMago:Nível 16\nElfo:Nível 32."
pt_28,"Prisão da Terra","Cria arbustos gigantes que germinam do subsolo e abraçam o alvo, causando dano ao alvo e em inimigos a uma unidade de distância dele.\nRequisito de aprendizado:\nMago:Nível 16\nElfo:Nível 32."
pt_29,"Contra Magia","Convoca um escudo de proteção mágico ao seu redor para proteger de um ataque mágico. Dura 5 segs.\nRequisito de aprendizado:\nMago:Nível 16\nElfo:Nível 32."
pt_30,Meditação,"Entra em estado de meditação, em que a sua taxa de recuperação de MP é mais rápida que o comum. No entanto, não terá mais efeito assim que você se mover, fizer um feitiço ou qualquer ação de batalha.\nRequisito de aprendizado:\nMago:Nível 16\nElfo:Nível 32."
pt_31,"Maldição: Paralisia","Convoca uma múmia que surge do chão e ataca seus inimigos. Pode paralisar o alvo. Fazer este feitiço reduz 500 pontos do seu valor Legal.\nRequisito de aprendizado:\nMago:Nível 20\nElfo:Nível 40."
pt_32,"Invocar Relâmpago","Convoca relâmpago para atacar seus inimigos, causando dano sério no alvo.\nRequisito de aprendizado:\nMago:Nível 20\nElfo:Nível 40."
pt_33,"Cura Superior","Recupera uma grande quantidade de HP para o alvo. Também causa dano nos mortos-vivos.\nRequisito de aprendizado:\nMago:Nível 20\nElfo:Nível 40."
pt_34,"Domar Monstro","Pode enfeitiçar monstro alvo e fazer com que siga você. Quanto mais fraco o HP do alvo, maior a chance de sucesso.\nRequisito de aprendizado:\nMago:Nível 20\nElfo:Nível 40."
pt_35,"Retirar Maldição","Emite uma luz santa para remover a maldição do alvo.\nRequisito de aprendizado:\nMago:Nível 20\nElfo:Nível 40."
