tw_0,NULL
tw_1,应许之岛
tw_2,应许之岛西北
tw_3,应许之岛北
tw_4,应许之岛码头
tw_5,应许之岛西
tw_6,应许之岛赎罪场
tw_7,应许村
tw_8,应许村
tw_9,应许村
tw_10,应许村
tw_11,应许之岛田园
tw_12,应许村
tw_13,应许村
tw_14,应许之岛东北
tw_15,应许之岛西南
tw_16,应许村
tw_17,应许村
tw_18,应许村
tw_19,应许之岛魔法书屋
tw_20,应许之岛南
tw_21,应许之岛东
tw_22,应许之岛宠物场
tw_23,应许之岛东南
tw_24,应许之岛地监1层
tw_25,应许之岛地监2层
tw_26,卡珊特拉居所
tw_27,伊丁大陆
tw_28,邱里普勒格顿河畔
tw_29,德雷克山岳西
tw_30,德雷克山岳西北
tw_31,德雷克山岳北
tw_32,德雷克山岳西南
tw_33,德雷克山岳中
tw_34,德雷克山岳东北
tw_35,阿克伦河畔
tw_36,德雷克山岳南
tw_37,德雷克山岳东南
tw_38,德雷克山岳东
tw_39,骑特拉地区西
tw_40,骑特拉地区西北
tw_41,骑特拉地区北
tw_42,勒特河畔
tw_43,精灵园林西
tw_44,精灵园林西北
tw_45,精灵园林北
tw_46,骑特拉地区西南
tw_47,骑特拉城镇西
tw_48,骑特拉城镇西北
tw_49,骑特拉城镇北
tw_50,骑特拉地区东北
tw_51,骑特拉城镇
tw_52,骑特拉地区东
tw_53,骑特拉地区南
tw_54,骑特拉城镇西南
tw_55,骑特拉城镇东北
tw_56,精灵园林神殿
tw_57,骑特拉城镇南
tw_58,骑特拉城镇东
tw_59,精灵园林西南
tw_60,精灵园林
tw_61,精灵园林东北
tw_62,骑特拉城镇东南
tw_63,精灵园林南
tw_64,沙棘木地区西
tw_65,沙棘木地区西北
tw_66,沙棘木地区北
tw_67,马洛斯地区西
tw_68,精灵园林东南
tw_69,精灵园林东
tw_70,妖魔地区西
tw_71,沙棘木地区中
tw_72,马洛斯地区西北
tw_73,马洛斯地区北
tw_74,妖魔地区西北
tw_75,妖魔地区北
tw_76,沙棘木地区绿洲
tw_77,腐烂沼泽
tw_78,勒那沼泽
tw_79,马洛斯地区东北
tw_80,沙棘木地区西南
tw_81,马洛斯地区中
tw_82,勒那沼泽神殿
tw_83,沙棘木地区东北
tw_84,腐烂沼泽深处
tw_85,勒那沼泽深处
tw_86,妖魔地区麦田
tw_87,妖魔城堡西
tw_88,妖魔城堡西北
tw_89,妖魔城堡北
tw_90,妖魔地区东北
tw_91,马洛斯地区西南
tw_92,妖魔地区西南
tw_93,妖魔城堡
tw_94,妖魔城堡东北
tw_95,沙棘木地区南
tw_96,沙棘木地区东
tw_97,妖魔村西
tw_98,妖魔村西北
tw_99,妖魔村北
tw_100,妖魔城堡西南
tw_101,妖魔城堡东
tw_102,沙棘木地区东南
tw_103,妖魔村西南
tw_104,妖魔村
tw_105,妖魔村东北
tw_106,妖魔城堡南
tw_107,妖魔城堡东南
tw_108,沙棘木城堡西
tw_109,沙棘木城堡西北
tw_110,沙棘木城堡北
tw_111,马洛斯地区南
tw_112,马洛斯地区东南
tw_113,妖魔村南
tw_114,妖魔村东
tw_115,妖魔地区东
tw_116,沙棘木城堡
tw_117,沙棘木村西
